Origin,Destination,Month,DayOfMonth,Price
Paris,Barcelona,August,01,€125
Paris,Barcelona,August,02,€115
Paris,Barcelona,August,03,€125
Paris,Barcelona,August,04,€135
Paris,Barcelona,August,05,€115
Paris,Barcelona,August,06,€95
Paris,Barcelona,August,07,€75
Paris,Barcelona,August,08,€75
Paris,Barcelona,August,09,€79
Paris,Barcelona,August,10,€92
Paris,Barcelona,August,11,€95
Paris,Barcelona,August,12,€95
Paris,Barcelona,August,13,€65
Paris,Barcelona,August,14,€72
Paris,Barcelona,August,15,€43
Paris,Barcelona,August,16,€49
Paris,Barcelona,August,17,€34
Paris,Barcelona,August,18,€49
Paris,Barcelona,August,19,€43
Paris,Barcelona,August,20,€24
Paris,Barcelona,August,21,€18
Paris,Barcelona,August,22,€18
Paris,Barcelona,August,23,€18
Paris,Barcelona,August,24,€26
Paris,Barcelona,August,25,€44
Paris,Barcelona,August,26,€18
Paris,Barcelona,August,27,€18
Paris,Barcelona,August,28,€18
Paris,Barcelona,August,29,€18
Paris,Barcelona,August,30,€18
Paris,Barcelona,August,31,€18
Paris,Barcelona,September,01,€35
Paris,Barcelona,September,02,€18
Paris,Barcelona,September,03,€18
Paris,Barcelona,September,04,€18
Paris,Barcelona,September,05,€18
Paris,Barcelona,September,06,€24
Paris,Barcelona,September,07,€49
Paris,Barcelona,September,08,€43
Paris,Barcelona,September,09,€43
Paris,Barcelona,September,10,€52
Paris,Barcelona,September,11,€49
Paris,Barcelona,September,12,€24
Paris,Barcelona,September,13,€24
Paris,Barcelona,September,14,€26
Paris,Barcelona,September,15,€34
Paris,Barcelona,September,16,€34
Paris,Barcelona,September,17,€18
Paris,Barcelona,September,18,€18
Paris,Barcelona,September,19,€18
Paris,Barcelona,September,20,€18
Paris,Barcelona,September,21,€26
Paris,Barcelona,September,22,€18
Paris,Barcelona,September,23,€18
Paris,Barcelona,September,24,€26
Paris,Barcelona,September,25,€26
Paris,Barcelona,September,26,€18
Paris,Barcelona,September,27,€18
Paris,Barcelona,September,28,€18
Paris,Barcelona,September,29,€18
Paris,Barcelona,September,30,€18
