Outbound: Paris ➜ Barcelona,Wednesday 01 August,-,-,-
Outbound: Paris ➜ Barcelona,Wednesday 01 August,23:15 ➜ 18:00,18h45, 1 change,€83.20
Outbound: Paris ➜ Barcelona,Wednesday 01 August,23:15 ➜ 21:30,22h15, 1 change,€75.40
Outbound: Paris ➜ Barcelona,Wednesday 01 August,01:35 ➜ 18:00,16h25, 1 change,€137.98
Outbound: Paris ➜ Barcelona,Wednesday 01 August,01:55 ➜ 21:40,19h45, 1 change,€118.89
Outbound: Paris ➜ Barcelona,Wednesday 01 August,07:13 ➜ 13:34,6h21, 0 changes,€184.00
Outbound: Paris ➜ Barcelona,Wednesday 01 August,07:15 ➜ 19:31,12h16, 1 change,€170.99
Outbound: Paris ➜ Barcelona,Wednesday 01 August,10:07 ➜ 16:34,6h27, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Wednesday 01 August,10:59 ➜ 19:31,8h32, 1 change,€203.00
Outbound: Paris ➜ Barcelona,Wednesday 01 August,11:52 ➜ 19:31,7h39, 1 change,-
Outbound: Paris ➜ Barcelona,Thursday 02 August,07:13 ➜ 13:34,6h21, 0 changes,€184.00
Outbound: Paris ➜ Barcelona,Thursday 02 August,07:15 ➜ 19:31,12h16, 1 change,€170.99
Outbound: Paris ➜ Barcelona,Thursday 02 August,10:07 ➜ 16:34,6h27, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Thursday 02 August,10:59 ➜ 19:31,8h32, 1 change,€203.00
Outbound: Paris ➜ Barcelona,Thursday 02 August,13:00 ➜ 06:15,17h15, 1 change,€118.98
Outbound: Paris ➜ Barcelona,Thursday 02 August,14:07 ➜ 20:34,6h27, 0 changes,€184.00
Outbound: Paris ➜ Barcelona,Thursday 02 August,14:30 ➜ 05:45,15h15, 0 changes,€80.00
Outbound: Paris ➜ Barcelona,Thursday 02 August,16:00 ➜ 08:10,16h10, 1 change,€87.99
Outbound: Paris ➜ Barcelona,Thursday 02 August,16:00 ➜ 18:00,26h00, 2 changes,€90.00
Outbound: Paris ➜ Barcelona,Thursday 02 August,16:07 ➜ 22:44,6h37, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Friday 03 August,07:13 ➜ 13:34,6h21, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Friday 03 August,07:15 ➜ 19:31,12h16, 1 change,€149.99
Outbound: Paris ➜ Barcelona,Friday 03 August,10:07 ➜ 16:34,6h27, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Friday 03 August,10:59 ➜ 19:31,8h32, 1 change,€199.00
Outbound: Paris ➜ Barcelona,Friday 03 August,13:00 ➜ 06:15,17h15, 1 change,€94.98
Outbound: Paris ➜ Barcelona,Friday 03 August,14:07 ➜ 20:34,6h27, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Friday 03 August,14:30 ➜ 05:45,15h15, 0 changes,€80.00
Outbound: Paris ➜ Barcelona,Friday 03 August,16:07 ➜ 22:44,6h37, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,07:13 ➜ 13:34,6h21, 0 changes,€239.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,07:15 ➜ 19:31,12h16, 1 change,€155.99
Outbound: Paris ➜ Barcelona,Saturday 04 August,08:00 ➜ 02:40,18h40, 1 change,€103.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,08:30 ➜ 09:45,25h15, 2 changes,€120.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,10:00 ➜ 05:35,19h35, 1 change,€75.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,10:00 ➜ 09:45,23h45, 1 change,€88.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,10:07 ➜ 16:34,6h27, 0 changes,€239.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,10:45 ➜ 06:15,19h30, 1 change,€89.98
Outbound: Paris ➜ Barcelona,Saturday 04 August,10:59 ➜ 19:31,8h32, 1 change,€203.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,12:30 ➜ 10:15,21h45, 1 change,€95.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,14:00 ➜ 10:15,20h15, 1 change,€88.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,14:07 ➜ 20:34,6h27, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,14:30 ➜ 05:25,14h55, 0 changes,€80.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,15:20 ➜ 07:55,16h35, 1 change,€83.98
Outbound: Paris ➜ Barcelona,Saturday 04 August,16:00 ➜ 23:20,31h20, 2 changes,€112.00
Outbound: Paris ➜ Barcelona,Saturday 04 August,16:07 ➜ 22:44,6h37, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Sunday 05 August,07:13 ➜ 13:34,6h21, 0 changes,€199.00
Outbound: Paris ➜ Barcelona,Sunday 05 August,07:15 ➜ 19:31,12h16, 1 change,€129.99
Outbound: Paris ➜ Barcelona,Sunday 05 August,10:07 ➜ 16:34,6h27, 0 changes,€239.00
Outbound: Paris ➜ Barcelona,Sunday 05 August,10:59 ➜ 19:31,8h32, 1 change,€173.00
Outbound: Paris ➜ Barcelona,Sunday 05 August,13:00 ➜ 05:45,16h45, 1 change,€94.00
Outbound: Paris ➜ Barcelona,Sunday 05 August,13:15 ➜ 06:15,17h00, 1 change,€79.98
Outbound: Paris ➜ Barcelona,Sunday 05 August,14:07 ➜ 20:34,6h27, 0 changes,€184.00
